season,pitcher,bf_22g,k_22g,bb_22g,hr_22g,runs_allowed_22g,outs_22g,ip_22g,k_rate_22g,bb_rate_22g,hr_rate_22g,ra9_22g,pitch_count_22g,swings_22g,whiffs_22g,in_zone_22g,swing_rate_22g,whiff_per_swing_22g,zone_rate_22g,bbe_22g,ev_p90_allowed_22g,hardhit_allowed_22g,hardhit_allowed_rate_22g,pitches_per_bf_22g,league_pitcher_k_rate,league_pitcher_bb_rate,league_pitcher_ra9,preseason_prior_k_rate,preseason_prior_bb_rate,bf_cutoff,ip_cutoff,k_rate_cutoff,starts_cutoff,player,known_2025_closer,named_r1_case,pred_k_rate_mean,pred_k_rate_bootstrap_sd,k_rate_q10,k_rate_q50,k_rate_q90,pred_k_delta_vs_prior,april_minus_pred_k_rate,known_closer_or_named_miller,fake_dominant_candidate,sleeper_reliever_candidate
2026,677961,51,13,6,1,8,30.0,10.0,0.2549019607843137,0.11764705882352941,0.0196078431372549,7.2,194,96,26,96,0.4948453608247423,0.2708333333333333,0.4948453608247423,60,104.55,19,0.31666666666666665,3.803921568627451,0.22177921482096433,0.08387040394992681,4.503987453440502,0.08333333333333333,0.25,51,10.0,0.2549019607843137,0,Cole Wilcox,False,False,0.22275709300106533,0.01401042859776861,0.14906832298136646,0.2222222222222222,0.32679738562091504,0.13942375966773202,0.032144867783248376,False,False,False
2026,622608,64,18,4,0,2,54.0,18.0,0.28125,0.0625,0.0,1.0,242,126,30,136,0.5206611570247934,0.23809523809523808,0.5619834710743802,87,99.8,17,0.19540229885057472,3.78125,0.22177921482096433,0.08387040394992681,4.503987453440502,0.12489597101874968,0.09678856415528468,64,18.0,0.28125,0,Antonio Senzatela,False,False,0.24521771897076985,0.008977934273412065,0.1794871794871795,0.24615384615384617,0.3181818181818182,0.12032174795202018,0.036032281029230145,False,False,True
2026,694918,36,8,2,1,2,30.0,10.0,0.2222222222222222,0.05555555555555555,0.027777777777777776,1.8,135,61,19,64,0.45185185185185184,0.3114754098360656,0.4740740740740741,39,101.42,14,0.358974358974359,3.75,0.22177921482096433,0.08387040394992681,4.503987453440502,0.1282051282051282,0.1282051282051282,36,10.0,0.2222222222222222,0,Blade Tidwell,False,False,0.22537457942803063,0.017914891300591724,0.16030534351145037,0.22377622377622378,0.304,0.09716945122290244,-0.0031523572058084204,False,False,True
2026,663738,35,13,3,0,3,28.0,9.333333333333334,0.37142857142857144,0.08571428571428572,0.0,2.892857142857143,126,62,27,58,0.49206349206349204,0.43548387096774194,0.4603174603174603,31,97.7,6,0.1935483870967742,3.6,0.22177921482096433,0.08387040394992681,4.503987453440502,0.1766354007056806,0.08370263247911307,35,9.333333333333334,0.37142857142857144,0,Daniel Lynch,False,False,0.2736379469468829,0.022820631982537233,0.18823529411764706,0.25833333333333336,0.3931034482758621,0.09700254624120233,0.09779062448168852,False,False,True
2026,667463,42,12,5,1,3,33.0,11.0,0.2857142857142857,0.11904761904761904,0.023809523809523808,2.4545454545454546,153,65,17,63,0.42483660130718953,0.26153846153846155,0.4117647058823529,42,97.25,6,0.14285714285714285,3.642857142857143,0.22177921482096433,0.08387040394992681,4.503987453440502,0.13547495512771865,0.06101704745633244,42,11.0,0.2857142857142857,0,John King,False,False,0.22353871960189386,0.01007333010680614,0.1735652173913044,0.23134328358208955,0.3181818181818182,0.08806376447417522,0.062175566112391834,False,False,True
2026,668873,44,13,7,1,2,33.0,11.0,0.29545454545454547,0.1590909090909091,0.022727272727272728,1.6363636363636365,171,73,20,86,0.4269005847953216,0.273972602739726,0.5029239766081871,48,101.69,12,0.25,3.8863636363636362,0.22177921482096433,0.08387040394992681,4.503987453440502,0.14835858585858588,0.09638047138047139,44,11.0,0.29545454545454547,0,Caleb Kilian,False,False,0.2259602607784824,0.013160817268602359,0.16326530612244897,0.22794117647058823,0.325,0.07760167491989653,0.06949428467606306,False,False,True
2026,663969,63,18,9,0,0,43.0,14.333333333333334,0.2857142857142857,0.14285714285714285,0.0,0.0,253,101,37,102,0.39920948616600793,0.36633663366336633,0.4031620553359684,57,103.06,19,0.3333333333333333,4.015873015873016,0.22177921482096433,0.08387040394992681,4.503987453440502,0.1700745473908413,0.06204295349662761,63,14.333333333333334,0.2857142857142857,0,Tyler Phillips,False,False,0.24694471726900014,0.02338633185139854,0.1693548387096774,0.24378109452736318,0.3273542600896861,0.07687016987815884,0.03876956844528556,False,False,True
2026,669270,30,3,0,0,3,23.0,7.666666666666667,0.1,0.0,0.0,3.5217391304347823,87,51,8,46,0.5862068965517241,0.1568627450980392,0.5287356321839081,39,104.11999999999999,14,0.358974358974359,2.9,0.22177921482096433,0.08387040394992681,4.503987453440502,0.09421357697219765,0.03831417624521073,30,7.666666666666667,0.1,0,Joel Kuhnel,False,False,0.1701791367672822,0.021095293857641334,0.10256410256410256,0.1693548387096774,0.2638888888888889,0.07596555979508454,-0.07017913676728219,False,False,False
2026,680730,29,7,1,1,3,21.0,7.0,0.2413793103448276,0.034482758620689655,0.034482758620689655,3.857142857142857,122,66,23,55,0.5409836065573771,0.3484848484848485,0.45081967213114754,42,99.83,12,0.2857142857142857,4.206896551724138,0.22177921482096433,0.08387040394992681,4.503987453440502,0.1704304710389903,0.07402820777433781,29,7.0,0.2413793103448276,0,Mitchell Parker,False,False,0.2430826253221979,0.019623679809298966,0.1693548387096774,0.23493975903614459,0.32679738562091504,0.07265215428320759,-0.0017033149773703071,False,False,True
2026,669062,37,13,5,0,7,24.0,8.0,0.35135135135135137,0.13513513513513514,0.0,7.875,183,70,26,73,0.3825136612021858,0.37142857142857144,0.3989071038251366,39,101.10000000000002,6,0.15384615384615385,4.945945945945946,0.22177921482096433,0.08387040394992681,4.503987453440502,0.2316363458528951,0.14627347417840375,37,8.0,0.35135135135135137,0,Erik Miller,False,False,0.301706835766637,0.018326132087216594,0.22277227722772278,0.28662420382165604,0.3958333333333333,0.07007048991374187,0.04964451558471439,False,False,True
