season,pitcher,bf_22g,ros_k_rate,q10,q50,q90
2024,445276,97,0.2601626016260163,0.20279720279720279,0.2619047619047619,0.3380281690140845
2024,445926,114,0.22,0.12121212121212122,0.21904761904761905,0.29545454545454547
2024,455119,89,0.27472527472527475,0.19480519480519481,0.2647058823529412,0.35185185185185186
2024,458677,67,0.22535211267605634,0.21739130434782608,0.2857142857142857,0.3617021276595745
2024,472610,86,0.20118343195266272,0.16312056737588654,0.23493975903614459,0.30303030303030304
2024,489446,84,0.3660130718954248,0.2222222222222222,0.2866666666666667,0.3931034482758621
2024,493603,94,0.26490066225165565,0.2019310964265093,0.26666666666666666,0.35135135135135137
2024,502085,105,0.3333333333333333,0.21014492753623187,0.27,0.3465909090909091
2024,518397,72,0.25,0.07142857142857142,0.16666666666666666,0.2631578947368421
2024,518617,75,0.21428571428571427,0.22641509433962265,0.29559748427672955,0.3939393939393939
2024,518886,77,0.28846153846153844,0.2119205298013245,0.27692307692307694,0.35570469798657717
2024,519008,76,0.1761006289308176,0.10714285714285714,0.18840579710144928,0.27611940298507465
2024,519043,88,0.16393442622950818,0.18181818181818182,0.24864864864864866,0.3188405797101449
2024,519151,96,0.20134228187919462,0.22439024390243903,0.2849740932642487,0.3617021276595745
2024,519293,88,0.15306122448979592,0.16310807010966352,0.23529411764705882,0.30246913580246915
2024,519326,84,0.18095238095238095,0.17543859649122806,0.24444444444444444,0.31451612903225806
2024,523260,86,0.21052631578947367,0.2080536912751678,0.2642857142857143,0.35185185185185186
2024,543056,64,0.27906976744186046,0.1926605504587156,0.2571428571428571,0.330188679245283
2024,543339,83,0.22941176470588234,0.22277227722772278,0.28662420382165604,0.3691275167785235
2024,547973,76,0.3617021276595745,0.23163726820443245,0.3230769230769231,0.43478260869565216
2024,552640,78,0.215311004784689,0.16326530612244897,0.25210084033613445,0.32679738562091504
2024,554340,86,0.29850746268656714,0.2080536912751678,0.26842105263157895,0.3470319634703196
2024,571670,92,0.1657754010695187,0.15151515151515152,0.2192513368983957,0.2978723404255319
2024,571882,112,0.1976284584980237,0.16326530612244897,0.22018348623853212,0.29545454545454547
2024,571946,96,0.20155038759689922,0.16666666666666666,0.23923444976076555,0.3103448275862069
2024,572143,112,0.20155038759689922,0.10569105691056911,0.19815668202764977,0.27218934911242604
2024,572955,91,0.2620689655172414,0.21,0.28,0.35135135135135137
2024,573124,84,0.24242424242424243,0.22702702702702704,0.28865979381443296,0.36231884057971014
2024,573204,77,0.2517985611510791,0.18181818181818182,0.2554347826086957,0.3188405797101449
2024,592094,81,0.3103448275862069,0.2,0.26436781609195403,0.34146341463414637
2024,592155,104,0.1518987341772152,0.16666666666666666,0.25210084033613445,0.31521739130434784
2024,592426,92,0.2708333333333333,0.16363636363636364,0.23863636363636365,0.304
2024,592454,80,0.24242424242424243,0.21428571428571427,0.28272251308900526,0.3958333333333333
2024,592773,86,0.2967741935483871,0.18757352941176472,0.25555555555555554,0.32075471698113206
2024,593576,93,0.2754491017964072,0.17391304347826086,0.23125,0.30714285714285716
2024,593974,81,0.12345679012345678,0.12,0.19230769230769232,0.27419354838709675
2024,594580,69,0.25301204819277107,0.18333333333333332,0.24615384615384617,0.32460732984293195
2024,595014,81,0.2980769230769231,0.20279720279720279,0.2642857142857143,0.35185185185185186
2024,600917,107,0.3241758241758242,0.22038595381208484,0.28169014084507044,0.375
2024,605121,97,0.22602739726027396,0.18333333333333332,0.24025974025974026,0.32075471698113206
2024,605130,85,0.27564102564102566,0.21014492753623187,0.2774566473988439,0.3515515515515518
2024,605154,88,0.2922077922077922,0.18181818181818182,0.26011560693641617,0.33715567742739627
2024,605177,90,0.30128205128205127,0.20279720279720279,0.25949367088607594,0.34146341463414637
2024,605280,94,0.24293785310734464,0.1951219512195122,0.2568306010928962,0.32540697674418595
2024,605347,89,0.265625,0.11904761904761904,0.20603015075376885,0.2849162011173184
2024,606160,86,0.12658227848101267,0.16312056737588654,0.2383177570093458,0.30303030303030304
2024,606303,83,0.27450980392156865,0.14906832298136646,0.21739130434782608,0.29005347593582964
2024,606930,91,0.20967741935483872,0.125,0.21428571428571427,0.2857142857142857
2024,607179,86,0.17272727272727273,0.1592920353982301,0.22099447513812154,0.30246913580246915
2024,607481,97,0.3087248322147651,0.18604651162790697,0.25210084033613445,0.31543624161073824
2024,608032,84,0.21705426356589147,0.1951219512195122,0.2604166666666667,0.35135135135135137
2024,608371,74,0.2112676056338028,0.19480519480519481,0.2647058823529412,0.3617021276595745
2024,608638,98,0.20833333333333334,0.11904761904761904,0.2,0.27611940298507465
2024,608717,104,0.1437908496732026,0.15438092960216881,0.22099447513812154,0.30246913580246915
2024,608723,92,0.2564102564102564,0.17714285714285713,0.24025974025974026,0.3103448275862069
2024,613534,70,0.26229508196721313,0.22641509433962265,0.30198019801980197,0.3958333333333333
2024,614179,99,0.2457627118644068,0.1746031746031746,0.24175824175824176,0.31451612903225806
2024,621051,86,0.19230769230769232,0.18181818181818182,0.24550898203592814,0.3181818181818182
2024,621053,106,0.3235294117647059,0.19318181818181818,0.25654450261780104,0.330188679245283
2024,621237,81,0.24293785310734464,0.2,0.26436781609195403,0.3351063829787234
2024,621242,92,0.4112903225806452,0.2392638036809816,0.30952380952380953,0.39869281045751637
2024,621345,73,0.22580645161290322,0.22972972972972974,0.2849740932642487,0.35714285714285715
2024,621363,82,0.23943661971830985,0.125,0.21428571428571427,0.2878787878787879
2024,621381,79,0.2974683544303797,0.21014492753623187,0.28,0.3617021276595745
2024,622253,100,0.16923076923076924,0.10569105691056911,0.18840579710144928,0.2641509433962264
2024,622554,88,0.2934131736526946,0.17714285714285713,0.24347826086956523,0.3188405797101449
2024,622786,111,0.2549019607843137,0.1746031746031746,0.22794117647058823,0.2978723404255319
2024,623149,75,0.2777777777777778,0.18604651162790697,0.2568306010928962,0.32
2024,623352,95,0.366120218579235,0.24378109452736318,0.32460732984293195,0.4418604651162791
2024,623433,94,0.2711864406779661,0.11904761904761904,0.1926605504587156,0.2727272727272727
2024,623465,82,0.2671232876712329,0.21014492753623187,0.2807017543859649,0.3533834586466165
2024,628452,86,0.30057803468208094,0.17333333333333334,0.2440944881889764,0.3103448275862069
2024,640448,86,0.20540540540540542,0.19815668202764977,0.26153846153846155,0.3515015015015016
2024,640451,95,0.21774193548387097,0.2080536912751678,0.26490066225165565,0.34146341463414637
2024,641656,110,0.32075471698113206,0.16417910447761194,0.22556390977443608,0.304
