season,pitcher,bf_22g,k_22g,bb_22g,hr_22g,runs_allowed_22g,outs_22g,ip_22g,k_rate_22g,bb_rate_22g,hr_rate_22g,ra9_22g,pitch_count_22g,swings_22g,whiffs_22g,in_zone_22g,swing_rate_22g,whiff_per_swing_22g,zone_rate_22g,bbe_22g,ev_p90_allowed_22g,hardhit_allowed_22g,hardhit_allowed_rate_22g,pitches_per_bf_22g,league_pitcher_k_rate,league_pitcher_bb_rate,league_pitcher_ra9,preseason_prior_k_rate,preseason_prior_bb_rate,bf_cutoff,ip_cutoff,k_rate_cutoff,starts_cutoff,player,known_2025_closer,named_r1_case,pred_k_rate_mean,pred_k_rate_bootstrap_sd,k_rate_q10,k_rate_q50,k_rate_q90,pred_k_delta_vs_prior,april_minus_pred_k_rate,known_closer_or_named_miller,fake_dominant_candidate,sleeper_reliever_candidate
2026,695243,41,27,2,0,0,37.0,12.333333333333334,0.6585365853658537,0.04878048780487805,0.0,0.0,162,82,48,77,0.5061728395061729,0.5853658536585366,0.47530864197530864,30,94.02,3,0.1,3.951219512195122,0.22177921482096433,0.08387040394992681,4.503987453440502,0.3914778668880181,0.10632926844154733,41,12.333333333333334,0.6585365853658537,0,Mason Miller,True,True,0.33303532400189517,0.02192419571657162,0.23110576923076925,0.31683168316831684,0.43478260869565216,-0.05844254288612294,0.3255012613639585,True,True,False
2026,686973,46,19,3,0,4,39.0,13.0,0.41304347826086957,0.06521739130434782,0.0,2.769230769230769,203,92,25,98,0.45320197044334976,0.2717391304347826,0.4827586206896552,59,97.72,10,0.1694915254237288,4.413043478260869,0.22177921482096433,0.08387040394992681,4.503987453440502,0.23670177530471648,0.06834222078629701,46,13.0,0.41304347826086957,0,Louis Varland,False,False,0.28795516148176875,0.01628239152346171,0.2080536912751678,0.26666666666666666,0.35714285714285715,0.051253386177052274,0.12508831677910082,False,True,False
2026,573009,41,13,3,1,5,29.0,9.666666666666666,0.3170731707317073,0.07317073170731707,0.024390243902439025,4.655172413793104,145,72,14,63,0.496551724137931,0.19444444444444445,0.43448275862068964,48,105.99000000000001,13,0.2708333333333333,3.5365853658536586,0.22177921482096433,0.08387040394992681,4.503987453440502,0.1747595835905538,0.060574292353705185,41,9.666666666666666,0.3170731707317073,0,Joe Mantiply,False,False,0.21000655160463796,0.014846725927945118,0.14814814814814814,0.21428571428571427,0.2980769230769231,0.03524696801408417,0.10706661912706936,False,True,False
