season,batter,pa_22g,ros_woba_delta_vs_prior,q10,q50,q90
2024,444482,55,0.029192419390486335,-0.07055789967182372,-0.0147634391183179,0.04218995960436239
2024,453568,87,0.0005682698539292153,-0.07750941916790882,-0.02648352410763516,0.026019588953114958
2024,455117,66,-0.05854326586791225,-0.06729195224188966,0.002383910642570264,0.07605820203980962
2024,456781,75,-0.006035149906590542,-0.07427892921403387,-0.02528359455421514,0.022361312037051745
2024,457705,92,0.011325887053336314,-0.06509998986567812,-0.01795157150202431,0.02220788432763099
2024,457759,86,-0.03733594244150906,-0.06609761206535397,-0.01746079362113223,0.020192387291487868
2024,467793,88,0.029620393812005263,-0.07171864820036883,-0.017413389607037172,0.026324817805480794
2024,500743,61,0.032666170929434135,-0.04798173272781736,0.006106004204261051,0.061155993773786166
2024,502054,92,-0.03357741737971642,-0.060145059838509374,-0.016023779833486518,0.03310828226331525
2024,502110,83,-0.05256985728773006,-0.07879518072289154,-0.03051974144379105,0.01880232807766624
2024,502671,96,-0.05424397091774441,-0.09352935642359556,-0.03483898998137683,0.012913250328980663
2024,514888,101,-0.053971272655381874,-0.07019872813990458,-0.024635076008952372,0.03318944886274833
2024,516782,98,-0.02767268973422915,-0.05433887167074947,-0.008438392492860047,0.03318944886274833
2024,518595,74,-0.020101489844199794,-0.04393473483633181,0.015298938914847127,0.07400295258579831
2024,518692,98,-0.034830820235876636,-0.09745886210456012,-0.03716714589829523,0.010493482073362037
2024,518735,80,0.04968290352601212,-0.06022047866481328,-0.010617801980015773,0.03771030228474964
2024,518792,73,-0.019255310914730317,-0.056223989567377064,-0.0038296346174347407,0.0534324309212072
2024,518934,85,-0.07964428843376492,-0.07946430179528247,-0.017408364045658986,0.024000629317697586
2024,519203,95,-0.03724610379360227,-0.07750941916790882,-0.02714094288327984,0.022101765141501917
2024,519317,88,0.0071419953999545815,-0.058745187018701905,-0.007207256792230776,0.03987161407838302
2024,521692,91,-0.0026533105784700695,-0.04583731692399279,0.011306860467253987,0.06320268854748606
2024,527038,74,-0.07101776536420101,-0.09036754507628297,-0.034825359875417405,0.017344911874657313
2024,542194,70,0.04270286744050461,-0.06699232913946529,-0.009410547824856397,0.05898257014076219
2024,542303,97,0.05201867528321036,-0.04564545093489758,0.015298938914847127,0.06478890775953651
2024,543257,73,-0.028248293308352546,-0.07750941916790882,-0.019200032928616773,0.028385675720042025
2024,543309,66,0.039646375943368395,-0.05223817806620801,0.010427420842626545,0.0681077696200394
2024,543510,81,0.052471463495926074,-0.041982292116219344,0.018057252583841166,0.07951261799422554
2024,543685,96,-0.049416853336391564,-0.058944860049511216,-0.0164077451562043,0.0337375265334513
2024,543760,101,-0.05162060539275193,-0.06609761206535397,-0.01995917817042564,0.02213903066354167
2024,543807,99,-0.042126068817631146,-0.07775964872271607,-0.02375896117694898,0.012365681341956453
2024,543877,79,-0.0026826900272999277,-0.06542327944167187,0.001066257056222597,0.061873315363881354
2024,545121,74,-0.037298443865239006,-0.045232338846717124,0.010941296259265043,0.06664539727524604
2024,545341,61,0.07149814910088048,-0.0766116213352172,-0.022277432712215328,0.032226008358254676
2024,547180,95,-0.007083360515008186,-0.08248760713255926,-0.029186799915606687,0.01883615154723345
2024,553869,84,-0.015518245707975609,-0.07189696934836515,-0.01795157150202431,0.037859439969429844
2024,553993,94,0.023364606182904757,-0.06597710179790106,-0.01655992426373787,0.028385675720042025
2024,570482,74,-0.029333558969910356,-0.07834325892122666,-0.028560497369679583,0.024812965594101843
2024,571448,95,-0.03484346057657722,-0.09036754507628297,-0.03561123569473651,0.01967999200531345
2024,571657,64,-0.006428363347318888,-0.089792922201824,-0.03516602274951364,0.01967999200531345
2024,571745,90,-0.046826253354028013,-0.05882505623102562,-0.012488998884525038,0.04218995960436239
2024,571771,67,-0.0032106904159759364,-0.07171864820036883,-0.007000629933205993,0.04218995960436239
2024,571912,64,-0.062315858529899903,-0.07879518072289154,-0.029669449992254016,0.027595588482856426
2024,571970,89,0.023353402176962634,-0.0677097081480506,-0.014932255526767746,0.02393572901476909
2024,572138,70,0.06329779673063257,-0.026644518272425255,0.02176041666666667,0.08508523601815081
2024,572191,85,-0.07189118989497975,-0.07427892921403387,-0.01581622909323621,0.04561507084585664
2024,572233,100,-0.0007506422550447311,-0.06875273810203808,-0.018316525130450456,0.01883615154723345
2024,572761,79,-0.023535390578102167,-0.08248760713255926,-0.030963687109813176,0.0163965524989923
2024,573262,65,0.001840927819345084,-0.07932743662539302,-0.023276863626200073,0.026019588953114958
2024,575929,92,-0.005166766867846118,-0.060145059838509374,-0.016864760073953988,0.032956210774976846
2024,578428,75,0.04693352317689187,-0.059074529602444616,-0.008277707789526911,0.041215998507665164
2024,592178,93,-0.04087519354960284,-0.08204685897801733,-0.032300971790061916,0.011858316026009452
2024,592192,91,-0.043228539658157816,-0.0635529214276842,-0.015286219794095057,0.030305569116530706
2024,592200,75,0.00519130881013552,-0.06690844072828128,-0.0036068376068376096,0.07605820203980962
2024,592206,86,-0.003275435290091666,-0.09194010627902799,-0.034232180117116484,0.021777070403464105
