season,batter,pa_22g,ab_22g,bb_22g,k_22g,hits_22g,hr_22g,woba_22g,avg_22g,obp_22g,slg_22g,ops_22g,babip_22g,bb_rate_22g,k_rate_22g,hr_rate_22g,iso_22g,xwoba_22g,xwoba_minus_woba_22g,pitches_per_pa_22g,swing_rate_22g,whiff_per_swing_22g,called_strike_rate_22g,zone_rate_22g,chase_rate_22g,bbe_22g,ev_mean_22g,ev_p90_22g,la_mean_22g,hardhit_rate_22g,barrel_rate_22g,team,league_woba,league_bb_rate,league_k_rate,league_babip,league_iso,preseason_prior_woba,preseason_prior_iso,preseason_prior_k_rate,ev_p90_22g_league_22g,hardhit_rate_22g_league_22g,barrel_rate_22g_league_22g,xwoba_22g_league_22g,abs_xwoba_minus_woba_22g,xwoba_minus_prior_woba_22g,woba_minus_prior_woba_22g,ros_woba_delta_vs_prior,ev_p90_resid_22g,hardhit_resid_22g,barrel_resid_22g,xwoba_resid_22g,pa_cutoff,woba_cutoff,ops_cutoff,team_cutoff,player,normalized_name,in_mainstream_top20,named_r1_case,pred_delta_mean,pred_delta_bootstrap_sd,delta_q10,delta_q50,delta_q90,pred_ros_woba,q10_ros_woba,q50_ros_woba,q90_ros_woba,player_prior_woba_sd,preseason_prior_woba_sd_floor,preseason_prior_woba_sd,fake_hot_threshold_woba,fake_hot_margin_woba,fake_hot_shortfall_sd,pred_delta_top_decile,april_woba_bottom_decile,sleeper_candidate,fake_hot_candidate,fake_cold_candidate,verdict
2026,680779,57,48,6,11,8,0,0.24464285714285713,0.16666666666666666,0.2857142857142857,0.20833333333333334,0.49404761904761907,0.21621621621621623,0.10526315789473684,0.19298245614035087,0.0,0.041666666666666685,0.262843125,0.018200267857142877,3.5964912280701755,0.4926829268292683,0.2376237623762376,0.11219512195121951,0.4975609756097561,0.2621359223300971,61,84.14098360655738,104.7,20.311475409836067,0.29508196721311475,0.03278688524590164,PIT,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.2555213252656435,0.10296296296296296,0.3014946269811898,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.018200267857142877,0.007321799734356538,-0.010878468122786339,,3.019999999999996,0.04721871934986688,-0.0029274004683840713,-0.045491183175137784,57,0.24464285714285713,0.49404761904761907,PIT,Henry Davis,henrydavis,False,False,0.027187676963713617,0.012228869292305608,-0.042577940896435074,0.019167633264410677,0.10445228486749059,0.2827090022293571,0.2129433843692084,0.27468895853005415,0.35997361013313406,0.025988714058154033,0.05095058000215223,0.05719593395471577,0.1983253913109277,0.08438361091842939,-0.47534282743313777,True,True,True,False,True,fake_cold
2026,687363,68,57,5,19,9,0,0.2314516129032258,0.15789473684210525,0.2222222222222222,0.17543859649122806,0.39766081871345027,0.23076923076923078,0.07352941176470588,0.27941176470588236,0.0,0.017543859649122806,0.23254195161290322,0.0010903387096774242,3.6029411764705883,0.4489795918367347,0.3,0.2,0.5428571428571428,0.23214285714285715,64,74.68125,97.88,4.515625,0.140625,0.0,STL,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.26460676562946045,0.09032988381787171,0.25284746451053147,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.0010903387096774242,-0.032064814016557225,-0.03315515272623465,,-3.8000000000000114,-0.10723824786324787,-0.03571428571428571,-0.07579235656223457,68,0.2314516129032258,0.39766081871345027,STL,Victor Scott,victorscott,False,False,0.02258238968165642,0.011399898376851274,-0.05694800957772156,0.0105816194504334,0.0760782434619644,0.2871891553111169,0.2076587560517389,0.27518838507989385,0.34068500909142485,0.022874534962519257,0.05095058000215223,0.05584985185573218,0.20875691377372826,0.07843224153738862,-0.40434108473536945,True,True,True,False,True,fake_cold
2026,695336,54,50,4,17,9,0,0.21481481481481482,0.18,0.24074074074074073,0.22,0.46074074074074073,0.2727272727272727,0.07407407407407407,0.3148148148148148,0.0,0.04000000000000001,0.22558442592592592,0.010769611111111105,4.055555555555555,0.5342465753424658,0.2905982905982906,0.1141552511415525,0.4611872146118721,0.3474576271186441,71,82.37042253521128,101.8,21.380281690140844,0.2112676056338028,0.014084507042253521,STL,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.27097069597069595,0.09181612038754895,0.2759669708822251,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.010769611111111105,-0.04538627004477003,-0.05615588115588113,,0.11999999999999034,-0.03659564222944506,-0.02162977867203219,-0.08274988224921187,54,0.21481481481481482,0.46074074074074073,STL,Thomas Saggese,thomassaggese,False,False,0.01905041373674503,0.011026530358866282,-0.060484076330264834,0.014611363736004634,0.0760782434619644,0.290021109707441,0.2104866196404311,0.2855820597067006,0.34704893943266035,0.020476812980767287,0.05095058000215223,0.05491139656214395,0.216059299408552,0.07396181029888899,-0.3469300533120741,False,True,False,False,True,fake_cold
2026,687597,54,50,3,11,8,1,0.2222222222222222,0.16,0.2037037037037037,0.26,0.46370370370370373,0.1794871794871795,0.05555555555555555,0.2037037037037037,0.018518518518518517,0.1,0.24527487037037035,0.02305264814814814,3.8703703703703702,0.5502392344497608,0.2956521739130435,0.1291866028708134,0.4688995215311005,0.3963963963963964,78,78.86923076923077,99.91,13.384615384615385,0.16666666666666666,0.01282051282051282,COL,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.29685958128441203,0.1266642459452917,0.32112480828063616,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.02305264814814814,-0.05158471091404168,-0.07463735906218982,,-1.7700000000000102,-0.08119658119658121,-0.022893772893772892,-0.06305943780476744,54,0.2222222222222222,0.46370370370370373,COL,Jordan Beck,jordanbeck,False,False,0.013606539055951588,0.01261542765479841,-0.06542327944167187,0.002383910642570264,0.0760782434619644,0.31046612034036364,0.23143630184274017,0.2992434919269823,0.37293782474637643,0.037758040422764025,0.05095058000215223,0.06341633243197527,0.23344324885243678,0.07702287148792686,-0.21455890831509244,False,True,False,False,True,fake_cold
2026,701807,75,70,5,17,11,1,0.22666666666666666,0.15714285714285714,0.21333333333333335,0.22857142857142856,0.4419047619047619,0.19230769230769232,0.06666666666666667,0.22666666666666666,0.013333333333333334,0.07142857142857142,0.2673650533333334,0.040698386666666725,4.08,0.477124183006536,0.1917808219178082,0.16013071895424835,0.5326797385620915,0.25874125874125875,109,83.19082568807339,103.12,16.155963302752294,0.23853211009174313,0.01834862385321101,NYM,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.2912420915994342,0.12644114950743837,0.22177921482096433,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.040698386666666725,-0.023877038266100825,-0.06457542493276755,,1.4399999999999977,-0.009331137771504738,-0.017365661861074702,-0.040969254841804414,75,0.22666666666666666,0.4419047619047619,NYM,Carson Benge,carsonbenge,False,False,0.012837484681566345,0.009809984205816706,-0.04900695641629543,0.006751613688953828,0.0717555543523381,0.3040795762810006,0.24223513518313877,0.29799370528838803,0.3629976459517723,,0.05095058000215223,0.05095058000215223,0.24029151159728196,0.06378806468371861,-0.25195953963672435,False,True,False,False,True,fake_cold
2026,687401,63,55,6,15,9,0,0.22295081967213115,0.16363636363636364,0.2459016393442623,0.16363636363636364,0.4095380029806259,0.225,0.09523809523809523,0.23809523809523808,0.0,0.0,0.23059832786885245,0.007647508196721303,3.873015873015873,0.4180327868852459,0.17647058823529413,0.2540983606557377,0.5040983606557377,0.30578512396694213,77,79.57142857142857,97.58,12.441558441558442,0.19480519480519481,0.012987012987012988,MIL,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.27802934206026675,0.09644044173996923,0.19366837699876668,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.007647508196721303,-0.047431014191414295,-0.0550785223881356,,-4.1000000000000085,-0.053058053058053056,-0.022727272727272724,-0.07773598030628534,63,0.22295081967213115,0.4095380029806259,MIL,Joey Ortiz,joeyortiz,False,False,0.012805682379627831,0.012275202365670113,-0.0652118814819011,0.005251878274019184,0.0760782434619644,0.29083502443989456,0.21281746057836565,0.28328122033428593,0.35410758552223115,0.04881064194274776,0.05095058000215223,0.070558063815689,0.20747127824457773,0.08336374619531683,-0.18149140845302494,False,True,False,False,True,fake_cold
2026,663647,65,59,6,7,5,1,0.1901639344262295,0.0847457627118644,0.16923076923076924,0.13559322033898305,0.3048239895697523,0.0784313725490196,0.09230769230769231,0.1076923076923077,0.015384615384615385,0.05084745762711865,0.30221211475409837,0.11204818032786887,3.353846153846154,0.3944954128440367,0.19767441860465115,0.23394495412844038,0.48623853211009177,0.25,60,87.18666666666667,102.19,19.383333333333333,0.3333333333333333,0.06666666666666667,CIN,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.29196404368628737,0.09388626458497269,0.1937013218031829,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.11204818032786887,0.010248071067811004,-0.10180010926005786,,0.5099999999999909,0.08547008547008544,0.030952380952380953,-0.0061221934210394235,65,0.1901639344262295,0.3048239895697523,CIN,Ke'Bryan Hayes,kebryanhayes,False,False,0.009105430684148031,0.012949629046570606,-0.055397399904182146,0.010941296259265043,0.07275942064727942,0.3010694743704354,0.23656664378210523,0.3029053399455524,0.3647234643335668,0.025782691136715243,0.05095058000215223,0.05710261609424711,0.23486142759204026,0.06620804677839515,-0.15945732975035065,False,True,False,False,True,fake_cold
2026,672275,63,58,5,11,9,1,0.20483870967741935,0.15517241379310345,0.2222222222222222,0.20689655172413793,0.4291187739463601,0.17391304347826086,0.07936507936507936,0.1746031746031746,0.015873015873015872,0.051724137931034475,0.28909869354838713,0.08425998387096778,3.9365079365079363,0.4798387096774194,0.2184873949579832,0.1532258064516129,0.5282258064516129,0.2564102564102564,83,83.9578313253012,99.4,14.698795180722891,0.26506024096385544,0.024096385542168676,SF,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.2863162152540782,0.10903736282516813,0.26755888914796483,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.08425998387096778,0.0027824782943089432,-0.08147750557665884,,-2.280000000000001,0.01719699310060757,-0.011617900172117036,-0.019235614626750663,63,0.20483870967741935,0.4291187739463601,SF,Patrick Bailey,patrickbailey,False,False,0.005720846357535603,0.01206538496812876,-0.05815839234956882,0.005474156455764045,0.07605820203980962,0.2920370616116138,0.22815782290450937,0.29179037170984223,0.3623744172938878,0.008486155575229285,0.05095058000215223,0.05165245820871171,0.23466375704536646,0.05737330456624734,-0.11075651684222718,False,True,False,False,True,fake_cold
2026,666310,58,53,5,13,8,1,0.20948275862068966,0.1509433962264151,0.22413793103448276,0.22641509433962265,0.4505530253741054,0.1794871794871795,0.08620689655172414,0.22413793103448276,0.017241379310344827,0.07547169811320756,0.3292651551724138,0.11978239655172412,4.362068965517241,0.4308300395256917,0.12844036697247707,0.1857707509881423,0.5217391304347826,0.19008264462809918,88,83.16818181818182,102.4,25.602272727272727,0.26136363636363635,0.045454545454545456,CLE,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.30957294911410355,0.18401608419760432,0.2610038086380797,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.11978239655172412,0.019692206058310235,-0.10009019049341389,,0.7199999999999989,0.013500388500388483,0.009740259740259744,0.020930846997275987,58,0.20948275862068966,0.4505530253741054,CLE,Bo Naylor,bonaylor,False,False,0.0010423143014132762,0.008996177705723515,-0.07427615937521598,-0.009446095649712771,0.05707672055832813,0.3106152634155168,0.23529678973888757,0.3001268534643908,0.3666496696724317,0.027585829353610127,0.05095058000215223,0.05793910237207868,0.2516338467420249,0.05898141667349194,-0.01798982481156925,False,True,False,False,True,fake_cold
