player_key,player,mlbam,stat,pa_22g,prior_woba,observed_22g,status,q10,q50,q80,q90
andy_pages,Andy Pages,681624.0,woba,87.0,0.331145361478343,0.42790697674418604,ok,0.28406529736358066,0.32923250564334083,0.3523908523908524,0.3713190561925519
ben_rice,Ben Rice,700250.0,woba,87.0,0.325628172723604,0.5119047619047619,ok,0.2949868073878628,0.3395973154362416,0.3726434426229508,0.395954962468724
mike_trout,Mike Trout,545361.0,woba,102.0,0.36688924566768605,0.4175257731958763,ok,0.32487275047005104,0.36283653966115226,0.4221393034825871,0.4374186550976139
moises_ballesteros,Moisés Ballesteros,694208.0,woba,53.0,0.4107692307692307,0.4811320754716981,ok,0.27801954910319937,0.3384968821791926,0.37374415100325165,0.39679410977754
munetaka_murakami,Munetaka Murakami,,woba,,,,missing_id,,,,
andy_pages,Andy Pages,681624.0,iso,87.0,0.331145361478343,0.20253164556962022,ok,0.101342957864697,0.16960617359761465,0.21189247223025154,0.23558358720487432
ben_rice,Ben Rice,700250.0,iso,87.0,0.325628172723604,0.4411764705882353,ok,0.14354066985645933,0.2191780821917808,0.2699275362318841,0.30126349039220873
mike_trout,Mike Trout,545361.0,iso,102.0,0.36688924566768605,0.275,ok,0.15104166666666666,0.23293172690763048,0.3002544529262086,0.3453038674033149
moises_ballesteros,Moisés Ballesteros,694208.0,iso,53.0,0.4107692307692307,0.2708333333333333,ok,0.10144927536231885,0.17322834645669294,0.22668649318463444,0.2710015635059322
munetaka_murakami,Munetaka Murakami,,iso,,,,missing_id,,,,
andy_pages,Andy Pages,681624.0,babip,87.0,0.331145361478343,0.4444444444444444,ok,0.25420216035830334,0.29896907216494845,0.33885104587377185,0.34806629834254144
ben_rice,Ben Rice,700250.0,babip,87.0,0.325628172723604,0.35135135135135137,ok,0.22180451127819548,0.2938775510204082,0.3333333333333333,0.34955716907364565
mike_trout,Mike Trout,545361.0,babip,102.0,0.36688924566768605,0.22641509433962265,ok,0.22180451127819548,0.28511168384879726,0.316622691292876,0.3357142857142857
moises_ballesteros,Moisés Ballesteros,694208.0,babip,53.0,0.4107692307692307,0.4594594594594595,ok,0.2542372881355932,0.3082579185520362,0.3442211055276382,0.36124161073825506
munetaka_murakami,Munetaka Murakami,,babip,,,,missing_id,,,,
andy_pages,Andy Pages,681624.0,ops,87.0,0.331145361478343,0.9592608758911683,ok,0.6168965053028862,0.73949604890413,0.7929454041104527,0.8362962962962963
ben_rice,Ben Rice,700250.0,ops,87.0,0.325628172723604,1.1982758620689655,ok,0.6393939393939394,0.7521084292388758,0.8257213588251299,0.8979347928459847
mike_trout,Mike Trout,545361.0,ops,102.0,0.36688924566768605,0.892156862745098,ok,0.6885309326455726,0.8247998517420312,0.976110845676063,1.0172345657328532
moises_ballesteros,Moisés Ballesteros,694208.0,ops,53.0,0.4107692307692307,1.1403301886792452,ok,0.6005089058524173,0.7443221062040385,0.8185733302012372,0.8981094066544794
munetaka_murakami,Munetaka Murakami,,ops,,,,missing_id,,,,
andy_pages,Andy Pages,681624.0,hr_rate,87.0,0.331145361478343,0.04597701149425287,ok,0.014084507042253521,0.02920481037129698,0.04024767801857585,0.04663557858376511
ben_rice,Ben Rice,700250.0,hr_rate,87.0,0.325628172723604,0.09195402298850575,ok,0.025482465241751403,0.04772727272727273,0.061454449986873196,0.06817354055004866
mike_trout,Mike Trout,545361.0,hr_rate,102.0,0.36688924566768605,0.058823529411764705,ok,0.02904527406796267,0.05066079295154185,0.06623914495657984,0.0777125265173074
moises_ballesteros,Moisés Ballesteros,694208.0,hr_rate,53.0,0.4107692307692307,0.05660377358490566,ok,0.015822784810126583,0.03426999766841392,0.05087833040041988,0.06481481481481481
munetaka_murakami,Munetaka Murakami,,hr_rate,,,,missing_id,,,,
andy_pages,Andy Pages,681624.0,k_rate,87.0,0.331145361478343,0.25287356321839083,ok,0.18491921005385997,0.24216524216524216,0.2857142857142857,0.30631151382596467
ben_rice,Ben Rice,700250.0,k_rate,87.0,0.325628172723604,0.27586206896551724,ok,0.21108742004264391,0.2755736868944416,0.3250517598343685,0.3455244755244755
mike_trout,Mike Trout,545361.0,k_rate,102.0,0.36688924566768605,0.20588235294117646,ok,0.16697216564833672,0.24448217317487267,0.2938271604938272,0.3051643192488263
moises_ballesteros,Moisés Ballesteros,694208.0,k_rate,53.0,0.4107692307692307,0.16981132075471697,ok,0.15437392795883362,0.2074688796680498,0.25542168674698795,0.28939311360354936
munetaka_murakami,Munetaka Murakami,,k_rate,,,,missing_id,,,,
