player_key,player,mlbam,seed,broad_2015_2024,current_2022_2025,delta_current_minus_broad
andy_pages,Andy Pages,681624,20260425,0.32198041307546915,0.3349092214975389,0.012928808422069726
ben_rice,Ben Rice,700250,20260425,0.3548334504784914,0.33974266322351143,-0.015090787254979976
mike_trout,Mike Trout,545361,20260425,0.3873539927160296,0.3726657485166433,-0.014688244199386302
moises_ballesteros,Moisés Ballesteros,694208,20260425,0.34841881803130365,0.3540071073375649,0.005588289306261263
andy_pages,Andy Pages,681624,20260426,0.3302223255477179,0.3270664507341857,-0.003155874813532189
ben_rice,Ben Rice,700250,20260426,0.32117876672503426,0.3352740994698963,0.014095332744862021
mike_trout,Mike Trout,545361,20260426,0.40346186864333555,0.3721180535454618,-0.03134381509787376
moises_ballesteros,Moisés Ballesteros,694208,20260426,0.3205337294916334,0.3368693516996639,0.01633562220803053
andy_pages,Andy Pages,681624,20260427,0.3318308563225139,0.35059216526974546,0.018761308947231548
ben_rice,Ben Rice,700250,20260427,0.3403826921797486,0.35811203626703275,0.01772934408728416
mike_trout,Mike Trout,545361,20260427,0.36749450539436507,0.3767442001942031,0.00924969479983806
moises_ballesteros,Moisés Ballesteros,694208,20260427,0.33191028700391795,0.3543072009760759,0.022396913972157928
andy_pages,Andy Pages,681624,20260428,0.3293572403665237,0.3288796420442987,-0.00047759832222499243
ben_rice,Ben Rice,700250,20260428,0.38731236659946644,0.3241884878032213,-0.06312387879624515
mike_trout,Mike Trout,545361,20260428,0.3706509507934089,0.3578158550957552,-0.012835095697653676
moises_ballesteros,Moisés Ballesteros,694208,20260428,0.32777035639347674,0.32823682548589,0.0004664690924132686
andy_pages,Andy Pages,681624,20260429,0.32670938767234187,0.34083673474079346,0.01412734706845159
ben_rice,Ben Rice,700250,20260429,0.35650891714133326,0.33310186000086567,-0.02340705714046759
mike_trout,Mike Trout,545361,20260429,0.3955920767481229,0.3753081917255062,-0.020283885022616688
