batter,n_borderline_spot79,actual_pct,expected_pct,residual_pp_med,residual_pp_lo,residual_pp_hi,p_dir_pos,p_two_sided,q_bh,bh_significant_q10,ci_excludes_zero,abs_residual_pp,flagged,chase_rate,n_total_pa,qualified_200pa,batter_name
686452,33,69.6969696969697,55.293672471542344,15.15151515151516,3.0303030303030387,27.272727272727277,0.984,0.03200000000000003,0.4800000000000004,False,True,15.15151515151516,True,0.17391304347826086,56.0,False,Drew Millas
682877,36,72.22222222222221,56.86795682204796,13.888888888888884,2.777777777777779,25.0,0.99,0.020000000000000018,0.3600000000000003,False,True,13.888888888888884,True,,,,Juan Brito
694497,41,60.97560975609756,49.08793293215119,12.195121951219512,0.0,24.390243902439025,0.96,0.08000000000000007,0.6709090909090909,False,False,12.195121951219512,False,0.20050125313283207,224.0,True,Evan Carter
664761,34,61.76470588235294,54.07416806385158,8.823529411764708,-2.941176470588236,20.588235294117652,0.858,0.28400000000000003,0.6885,False,False,8.823529411764708,False,0.2613768961493582,516.0,True,Alec Bohm
666310,35,60.0,52.36943777952672,8.571428571428575,-2.857142857142858,17.142857142857142,0.893,0.21399999999999997,0.6885,False,False,8.571428571428575,False,0.2564102564102564,429.0,True,Bo Naylor
691594,47,76.59574468085107,69.01556814699912,8.510638297872342,0.0,17.021276595744684,0.93,0.1399999999999999,0.6885,False,False,8.510638297872342,False,0.3024054982817869,350.0,True,Javier Sanoja
641857,60,63.33333333333333,55.67931995237595,8.333333333333325,0.0,16.666666666666664,0.952,0.09600000000000009,0.681428571428572,False,False,8.333333333333325,False,0.25039246467817894,610.0,True,Ryan McMahon
672960,37,56.75675675675676,49.45827301368987,8.108108108108103,-2.7027027027027084,16.21621621621621,0.881,0.238,0.6885,False,False,8.108108108108103,False,,,,Kazuma Okamoto
686797,57,59.64912280701754,53.171625913172846,7.017543859649122,-1.7543859649122862,14.035087719298245,0.919,0.16199999999999992,0.6885,False,False,7.017543859649122,False,0.31844660194174756,528.0,True,Brooks Lee
678489,62,61.29032258064516,54.66680587280973,6.451612903225811,0.0,14.516129032258068,0.947,0.1060000000000001,0.681428571428572,False,False,6.451612903225811,False,0.34810126582278483,77.0,False,Jorge Barrosa
686217,31,64.51612903225806,57.20566817171998,6.451612903225801,-3.2258064516129004,19.35483870967742,0.853,0.29400000000000004,0.6885,False,False,6.451612903225801,False,0.2633969118982743,601.0,True,Sal Frelick
665966,48,66.66666666666666,61.30315975791628,6.25,-4.166666666666674,12.5,0.848,0.30400000000000005,0.6885,False,False,6.25,False,0.2959738846572361,457.0,True,665966
680700,33,60.60606060606061,55.34255286149005,6.060606060606066,-3.106060606060599,15.151515151515154,0.768,0.46399999999999997,0.7879245283018868,False,False,6.060606060606066,False,0.18556701030927836,52.0,False,Richie Palacios
