spot,n,overturn_rate,wilson_low,wilson_high
1,154,0.6233766233766234,0.544723972153564,0.6960239294681988
2,126,0.6349206349206349,0.5480204717674944,0.7138373378166742
3,131,0.5877862595419847,0.502165638462881,0.6684050465560665
4,112,0.5625,0.4700664958263496,0.6507883357902824
5,110,0.5545454545454546,0.4613868803652954,0.6440228721476322
6,117,0.6068376068376068,0.5162863142404461,0.690596325575209
7,119,0.6218487394957983,0.5322004246620075,0.7038762246907971
8,100,0.65,0.5525444329688796,0.7363575175690247
9,110,0.5727272727272728,0.479369229296701,0.6611771073872025
