batter,n_borderline_spot79,actual_pct,expected_pct,residual_pp_med,residual_pp_lo,residual_pp_hi,p_dir_pos,p_two_sided,q_bh,bh_significant_q10,ci_excludes_zero,abs_residual_pp,flagged,chase_rate,n_total_pa,qualified_200pa,batter_name
682877,37,72.97297297297297,57.714130105675046,16.216216216216218,5.405405405405405,27.027027027027025,0.992,0.016000000000000014,0.38080000000000036,False,True,16.216216216216218,True,,,,Juan Brito
672356,34,58.82352941176471,45.55007433257186,14.70588235294118,2.941176470588236,23.52941176470588,0.983,0.03400000000000003,0.5057500000000005,False,True,14.70588235294118,True,0.3908523908523909,487.0,True,Gabriel Arias
686452,41,68.29268292682927,56.17616747874652,12.195121951219512,2.3780487804878105,21.951219512195124,0.975,0.050000000000000044,0.5409090909090915,False,True,12.195121951219512,True,0.17391304347826086,56.0,False,Drew Millas
694497,50,66.0,53.92532549571706,12.0,2.0000000000000018,22.000000000000004,0.988,0.02400000000000002,0.40800000000000036,False,True,12.0,True,0.20050125313283207,224.0,True,Evan Carter
665750,41,56.09756097560976,46.56899832577175,9.756097560975613,0.0,19.512195121951226,0.97,0.06000000000000005,0.5950000000000005,False,False,9.756097560975613,False,0.35816618911174786,190.0,False,Leody Taveras
696285,33,69.6969696969697,61.492606477570746,9.090909090909093,-3.0303030303030276,18.181818181818187,0.854,0.29200000000000004,0.8160000000000002,False,False,9.090909090909093,False,0.2368,369.0,True,Jacob Young
664761,34,61.76470588235294,54.07416806385158,8.823529411764708,-2.941176470588236,17.647058823529417,0.847,0.30600000000000005,0.8160000000000002,False,False,8.823529411764708,False,0.2613768961493582,516.0,True,Alec Bohm
686780,55,67.27272727272727,60.3293435243323,7.272727272727275,-1.8181818181818188,16.36363636363637,0.898,0.20399999999999996,0.8160000000000002,False,False,7.272727272727275,False,0.35714285714285715,394.0,True,Pedro Pagés
672960,44,56.81818181818182,49.95015688228228,6.818181818181824,-2.2727272727272707,15.909090909090912,0.885,0.22999999999999998,0.8160000000000002,False,False,6.818181818181824,False,,,,Kazuma Okamoto
686797,59,59.32203389830508,53.130389348116246,6.779661016949145,0.0,13.559322033898303,0.934,0.1319999999999999,0.8160000000000002,False,False,6.779661016949145,False,0.31844660194174756,528.0,True,Brooks Lee
669134,31,61.29032258064516,53.86845835867264,6.451612903225811,-3.2258064516129004,16.20967741935477,0.845,0.31000000000000005,0.8160000000000002,False,False,6.451612903225811,False,0.23376623376623376,31.0,False,Luis Campusano
641555,31,45.16129032258064,39.94492591218447,6.451612903225806,-6.451612903225806,16.129032258064512,0.751,0.498,0.8925,False,False,6.451612903225806,False,0.20853080568720378,106.0,False,J.C. Escarra
663698,31,67.74193548387096,59.79472199926924,6.451612903225801,0.0,16.129032258064512,0.906,0.18799999999999994,0.8160000000000002,False,False,6.451612903225801,False,0.23255813953488372,341.0,True,Joey Bart
680700,47,61.702127659574465,55.10096554036185,6.382978723404253,-2.127659574468088,14.893617021276595,0.9,0.19999999999999996,0.8160000000000002,False,False,6.382978723404253,False,0.18556701030927836,52.0,False,Richie Palacios
691723,63,61.904761904761905,55.77378306408367,6.349206349206349,0.0,12.698412698412703,0.938,0.12400000000000011,0.8160000000000002,False,False,6.349206349206349,False,0.2786885245901639,292.0,True,Coby Mayo
595879,32,56.25,50.75981914509171,6.25,-3.2031249999999956,15.625,0.757,0.486,0.8925,False,False,6.25,False,0.46292134831460674,468.0,True,Javier Báez
691777,49,59.183673469387756,52.99709497299951,6.122448979591832,-4.081632653061229,16.3265306122449,0.857,0.28600000000000003,0.8160000000000002,False,False,6.122448979591832,False,0.3137254901960784,223.0,True,Max Muncy
641487,38,63.1578947368421,58.84101906740009,5.263157894736836,-5.328947368421055,15.789473684210526,0.702,0.5960000000000001,0.8994186046511627,False,False,5.263157894736836,False,0.2180566182096404,674.0,True,J.P. Crawford
805367,41,63.41463414634146,58.19218762637686,4.878048780487809,-7.317073170731703,14.634146341463417,0.763,0.474,0.8925,False,False,4.878048780487809,False,0.22629969418960244,516.0,True,Chase Meidroth
687363,63,63.49206349206349,58.07140940052161,4.761904761904756,-3.1746031746031744,14.285714285714285,0.859,0.28200000000000003,0.8160000000000002,False,False,4.761904761904756,False,0.246189917936694,468.0,True,Victor Scott II
678489,66,62.121212121212125,57.05972027178029,4.545454545454541,-1.5151515151515138,12.121212121212121,0.895,0.20999999999999996,0.8160000000000002,False,False,4.545454545454541,False,0.34810126582278483,77.0,False,Jorge Barrosa
641857,67,61.19402985074627,56.2047674853636,4.477611940298509,-2.985074626865669,13.432835820895523,0.84,0.32000000000000006,0.8160000000000002,False,False,4.477611940298509,False,0.25039246467817894,610.0,True,Ryan McMahon
671732,47,46.808510638297875,43.70485842485306,4.255319148936171,-6.382978723404253,12.765957446808512,0.678,0.6439999999999999,0.8994186046511627,False,False,4.255319148936171,False,0.26303317535545023,631.0,True,Lawrence Butler
666310,48,58.333333333333336,54.3417038324916,4.166666666666674,-4.1666666666666625,12.500000000000005,0.73,0.54,0.8965753424657534,False,False,4.166666666666674,False,0.2564102564102564,429.0,True,Bo Naylor
664728,73,61.64383561643836,58.1135863938364,4.109589041095896,-4.109589041095885,10.95890410958904,0.777,0.44599999999999995,0.8925,False,False,4.109589041095896,False,0.28509406657018815,414.0,True,Kyle Isbel
691785,49,55.10204081632652,51.76301585456204,4.081632653061218,-6.1224489795918435,14.28571428571428,0.7,0.6000000000000001,0.8994186046511627,False,False,4.081632653061218,False,0.2966101694915254,138.0,False,Marcelo Mayer
