umpire,n_total,n_bot,n_top,delta_spot7_vs_3_pp_med,delta_spot7_vs_3_pp_lo,delta_spot7_vs_3_pp_hi,p_dir_neg,delta_bot_vs_top_pp_med,delta_bot_vs_top_pp_lo,delta_bot_vs_top_pp_hi,p_dir_neg_bot,u_botslope_med,u_botslope_lo,u_botslope_hi,p_two_sided,q_bh,bh_significant_q10,ci_excludes_zero,abs_med_pp,flagged,direction
Edwin Moscoso,342,108,111,0.02319316261931159,-2.3075721325977208,2.2506387731877346,0.49375,0.6126664236580981,-1.7138111971124237,2.679961038382636,0.2325,-0.006915863622294847,-0.2236469635173345,0.1768478200438114,0.9875,0.9950000000000002,False,False,0.02319316261931159,False,reverse
Nick Mahrley,253,80,102,0.033113775821841385,-2.3631518668617377,2.1186976491515246,0.48625,0.6120807725124577,-1.6330567411150978,2.3142584135498097,0.24875,-0.0061518852806690845,-0.24180571485989877,0.14574025199659082,0.9725,0.9950000000000002,False,False,0.033113775821841385,False,reverse
Paul Clemons,252,83,93,0.03377286492077247,-2.3341172395022136,2.3281767103518183,0.48625,0.7129937916932338,-1.6227865353719733,2.621777940660787,0.24125,-0.004881139204727424,-0.22845281597569206,0.1726279076708066,0.9725,0.9950000000000002,False,False,0.03377286492077247,False,reverse
Emil Jimenez,213,52,94,0.036573636922920816,-2.9271465959407617,2.184265312577984,0.485,0.6702747342030468,-2.220101148741902,2.570907753910434,0.23625,-0.0052146965967734184,-0.2960419010159042,0.16681292801940953,0.97,0.9950000000000002,False,False,0.036573636922920816,False,reverse
James Jean,287,89,97,0.03809903696636585,-2.876883152607972,2.294549445726086,0.4925,0.6623559336773277,-1.8235707231188576,2.637461514015081,0.24625,-0.006557852114656476,-0.2573676163848474,0.1972872741341771,0.985,0.9950000000000002,False,False,0.03809903696636585,False,reverse
Brennan Miller,332,95,130,0.05016432825292738,-2.245983333338366,2.2883806800927426,0.4825,0.6627821169856607,-1.5552177453943472,2.5456268160525104,0.21875,-0.0035526212402380965,-0.2252078196135731,0.16531770229666662,0.965,0.9950000000000002,False,False,0.05016432825292738,False,reverse
Dan Bellino,377,129,132,0.055771623368894296,-2.299644359627849,1.938023577133571,0.475,0.6354882656290084,-1.5974564785855916,2.4010024761880513,0.22375,-0.005137055934271053,-0.21985320914073592,0.15675710261386452,0.95,0.9950000000000002,False,False,0.055771623368894296,False,reverse
Alan Porter,326,102,124,0.0574710857065619,-2.1261366269723676,2.0402875151909914,0.4675,0.6947718599912112,-1.32098123466653,2.510227635347905,0.21625,-0.0015026842338076072,-0.2150357431658069,0.1890396892134603,0.935,0.9950000000000002,False,False,0.0574710857065619,False,reverse
Stu Scheurwater,296,81,109,0.06254072442014591,-2.4885878424850003,2.349906856403078,0.47625,0.66991136357053,-1.4402509521509013,2.766587444654838,0.2425,-0.0046529265058763,-0.2112188717831355,0.19968000009208017,0.9525,0.9950000000000002,False,False,0.06254072442014591,False,reverse
Junior Valentine,346,103,136,0.08750728429138266,-2.2704052056197823,1.9159241254902428,0.45125,0.6607900891602847,-1.618053142161712,2.3821175594167165,0.2175,-0.001452610528662769,-0.24489871343619374,0.17794261573832432,0.9025,0.9950000000000002,False,False,0.08750728429138266,False,reverse
Laz Diaz,412,113,174,0.1000814945842643,-2.157142614084639,2.2227663855762243,0.4575,0.6467809912907296,-1.368805313374754,2.371897806911052,0.2125,-0.0017041835552672807,-0.21177909527203218,0.18128983375334248,0.915,0.9950000000000002,False,False,0.1000814945842643,False,reverse
