year,season_pas,season_walks_excl_ibb,season_walks_incl_ibb,walk_rate_excl_ibb,walk_rate_incl_ibb
2018,24249,2096,2224,0.08643655408470452,0.09171512227308343
2019,25221,2181,2296,0.08647555608421553,0.09103524840410769
2021,23994,2123,2194,0.088480453446695,0.09143952654830374
2022,25756,2206,2238,0.0856499456437335,0.086892374592328
2023,25662,2275,2322,0.08865248226950355,0.09048398410100537
2024,25662,2214,2282,0.08627542670095861,0.0889252591380251
2025,26281,2296,2385,0.0873634945397816,0.09074997146227312
