pick_type,target_player,target_mlbam,analog_player,analog_mlbam,season,cosine_sim,first22_woba,first22_xwoba_gap,ros_woba,ros_delta_vs_prior,ros_iso,ros_k_rate
sleeper,Tristan Peters,671976,Elías Díaz,553869,2017,0.856823346882671,0.3290322580645161,-0.041516612903225725,0.22700729927007302,0.22700729927007302,0.07692307692307693,0.20437956204379562
sleeper,Tristan Peters,671976,Juan Centeno,518542,2016,0.8248422284103376,0.29930555555555555,-0.034470375,0.3563063063063063,0.24108891500195845,0.13461538461538458,0.17094017094017094
sleeper,Tristan Peters,671976,Pete Crow-Armstrong,691718,2024,0.820291780902089,0.3028169014084507,-0.006904889143694581,0.30349544072948326,0.1564366172000715,0.1553398058252427,0.2455621301775148
sleeper,Tristan Peters,671976,Niko Goodrum,592348,2018,0.8116817065069306,0.347945205479452,-0.018538219178082127,0.33489208633093526,0.24600319744204635,0.18783068783068782,0.26252983293556087
sleeper,Tristan Peters,671976,Ryan Lamarre,534606,2018,0.810719060706757,0.30851063829787234,-0.05291989361702126,0.323046875,0.22769965277777782,0.14285714285714285,0.2692307692307692
sleeper,Everson Pereira,677592,Chris Herrmann,543302,2016,0.9148776765540001,0.373943661971831,0.00033887323943659897,0.378021978021978,0.13938561438561434,0.14457831325301207,0.24210526315789474
sleeper,Everson Pereira,677592,Seth Brown,664913,2021,0.8601727805150227,0.3682539682539682,0.01038015566426681,0.3134297520661157,0.15118075608217993,0.2600896860986547,0.3073770491803279
sleeper,Everson Pereira,677592,Kyle Garlick,664247,2022,0.8494183764407156,0.4009803921568627,0.056451896987780636,0.3081081081081081,0.015298938914847127,0.1588785046728972,0.35135135135135137
sleeper,Everson Pereira,677592,Luke Voit,572228,2017,0.8485608726741501,0.35806451612903223,0.035632483870967735,0.2830645161290323,0.018772410896205127,0.10344827586206898,0.2903225806451613
sleeper,Everson Pereira,677592,Jung Ho Kang,628356,2015,0.8450107073338676,0.38,-0.02049596923076924,0.364,0.09681240772313698,0.1726027397260274,0.2109181141439206
sleeper,Jorge Barrosa,678489,Dairon Blanco,680118,2023,0.8853807828715502,0.3414285714285714,-0.10131034377403131,0.4022727272727273,0.1451298701298701,0.2033898305084746,0.23529411764705882
sleeper,Jorge Barrosa,678489,Zach Mckinstry,656716,2021,0.8724561739929901,0.3445205479452055,-0.06328217497826666,0.2793814432989691,-0.027761413843888028,0.17777777777777776,0.32653061224489793
sleeper,Jorge Barrosa,678489,Jorge Mateo,622761,2024,0.8711295414981886,0.3068493150684931,-0.022402442138277745,0.2878787878787879,-0.00482524115115085,0.16666666666666669,0.2074074074074074
sleeper,Jorge Barrosa,678489,Deven Marrero,571918,2017,0.8648355361075019,0.30597014925373134,-0.06373170149253729,0.30044642857142856,0.09806547619047618,0.09433962264150941,0.3305084745762712
sleeper,Jorge Barrosa,678489,Austin Wynns,642851,2018,0.8628002083168372,0.32238805970149254,-0.034140447761194015,0.3,0.05292755441219499,0.06521739130434784,0.16
sleeper,Jac Caglianone,695506,James Wood,695578,2024,0.928605954589981,0.3026595744680851,0.03689463944400079,0.3716666666666667,0.07837328123542592,0.18483412322274878,0.26337448559670784
