season,batter,pa_22g,ab_22g,bb_22g,k_22g,hits_22g,hr_22g,woba_22g,avg_22g,obp_22g,slg_22g,ops_22g,babip_22g,bb_rate_22g,k_rate_22g,hr_rate_22g,iso_22g,xwoba_22g,xwoba_minus_woba_22g,pitches_per_pa_22g,swing_rate_22g,whiff_per_swing_22g,called_strike_rate_22g,zone_rate_22g,chase_rate_22g,bbe_22g,ev_mean_22g,ev_p90_22g,la_mean_22g,hardhit_rate_22g,barrel_rate_22g,team,league_woba,league_bb_rate,league_k_rate,league_babip,league_iso,preseason_prior_woba,preseason_prior_iso,preseason_prior_k_rate,ev_p90_22g_league_22g,hardhit_rate_22g_league_22g,barrel_rate_22g_league_22g,xwoba_22g_league_22g,abs_xwoba_minus_woba_22g,xwoba_minus_prior_woba_22g,woba_minus_prior_woba_22g,ros_woba_delta_vs_prior,ev_p90_resid_22g,hardhit_resid_22g,barrel_resid_22g,xwoba_resid_22g,pa_cutoff,woba_cutoff,ops_cutoff,team_cutoff,player,normalized_name,in_mainstream_top20,named_r1_case,pred_delta_mean,pred_delta_bootstrap_sd,delta_q10,delta_q50,delta_q90,pred_ros_woba,q10_ros_woba,q50_ros_woba,q90_ros_woba,pred_delta_top_decile,april_woba_bottom_decile,sleeper_candidate,fake_hot_candidate,fake_cold_candidate,verdict
2026,695600,79,69,8,22,19,6,0.40886075949367084,0.2753623188405797,0.35443037974683544,0.5652173913043478,0.9196477710511832,0.30952380952380953,0.10126582278481013,0.27848101265822783,0.0759493670886076,0.28985507246376807,0.3487947594936709,-0.06006599999999995,4.3164556962025316,0.41935483870967744,0.3356643356643357,0.15835777126099707,0.4574780058651026,0.25405405405405407,90,82.53111111111112,106.37,18.5,0.24444444444444444,0.07777777777777778,KC,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.4043478260869565,0.25000000000000006,0.17391304347826086,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.06006599999999995,-0.05555306659328563,0.004512933406714326,,4.689999999999998,-0.0034188034188034344,0.04206349206349207,0.0404604513185331,83,0.4108433734939759,0.9230896187489686,KC,Carter Jensen,carterjensen,True,False,-0.05726815069376794,0.013174476500994146,-0.09902625709077323,-0.0356014153092456,0.023784848997070063,0.34707967539318857,0.3053215689961833,0.3687464107777109,0.4281326750840266,False,False,False,True,False,fake_hot
2026,592450,95,80,13,25,20,9,0.4342105263157895,0.25,0.3617021276595745,0.625,0.9867021276595744,0.2391304347826087,0.1368421052631579,0.2631578947368421,0.09473684210526316,0.375,0.4449607659574468,0.010750239641657333,4.410526315789474,0.43675417661097854,0.3333333333333333,0.1575178997613365,0.45584725536992843,0.2719298245614035,114,85.03947368421052,107.07,20.5,0.2807017543859649,0.13157894736842105,NYY,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.47871468854720384,0.3615729665404975,0.2501102111191079,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.010750239641657333,-0.03375392258975701,-0.044504162231414346,,5.389999999999986,0.032838506522717026,0.09586466165413533,0.13662645778230903,109,0.4347222222222222,0.9797979797979799,NYY,Aaron Judge,aaronjudge,True,False,-0.04640279639628314,0.016429301135495133,-0.16836226203807392,-0.03884482962251329,0.03286365127790419,0.4323118921509207,0.3103524265091299,0.43986985892469055,0.511578339825108,False,False,False,True,False,fake_hot
2026,682998,92,77,14,25,23,3,0.4206521739130435,0.2987012987012987,0.40217391304347827,0.5974025974025974,0.9995765104460757,0.4,0.15217391304347827,0.2717391304347826,0.03260869565217391,0.2987012987012987,0.3872968478260869,-0.03335532608695657,4.043478260869565,0.4435483870967742,0.32727272727272727,0.15591397849462366,0.4543010752688172,0.33004926108374383,96,84.98854166666666,103.05,15.125,0.2708333333333333,0.07291666666666667,AZ,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.3671375543020165,0.2377030385890805,0.2105646488161428,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.03335532608695657,0.02015929352407042,0.05351461961102699,,1.3699999999999903,0.022970085470085444,0.03720238095238096,0.07896253965094913,92,0.4206521739130435,0.9995765104460757,AZ,Corbin Carroll,corbincarroll,True,False,-0.020818421482805275,0.005050803044237806,-0.07420631625620067,-0.024559324893730528,0.027459215227984557,0.34631913281921123,0.29293123804581583,0.342578229408286,0.39459676953000106,False,False,False,True,False,fake_hot
2026,669364,94,83,10,12,28,1,0.39032258064516123,0.3373493975903614,0.40860215053763443,0.46987951807228917,0.8784816686099236,0.38571428571428573,0.10638297872340426,0.1276595744680851,0.010638297872340425,0.13253012048192775,0.3510307741935484,-0.03929180645161284,3.648936170212766,0.4110787172011662,0.1347517730496454,0.18658892128279883,0.5364431486880467,0.20125786163522014,112,84.28928571428571,99.48,17.214285714285715,0.2767857142857143,0.03571428571428571,MIA,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.34216947525812774,0.06985829616472057,0.15782399547255235,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.03929180645161284,0.008861298935420647,0.04815310538703349,,-2.200000000000003,0.02892246642246643,0.0,0.042696466018410595,113,0.4035714285714286,0.9081632653061225,MIA,Xavier Edwards,xavieredwards,True,False,-0.01191930631540631,0.004788556313466461,-0.05408059778865243,-0.012506108003738303,0.037245396233872075,0.3302501689427214,0.2880888774694753,0.32966336725438944,0.3794148714919998,False,False,False,True,False,fake_hot
2026,571970,89,80,9,26,23,8,0.40738636363636366,0.2875,0.3595505617977528,0.6,0.9595505617977528,0.32608695652173914,0.10112359550561797,0.29213483146067415,0.0898876404494382,0.3125,0.39347095454545455,-0.013915409090909103,4.134831460674158,0.45652173913043476,0.27976190476190477,0.1766304347826087,0.5163043478260869,0.2640449438202247,109,84.95779816513762,106.04,17.31192660550459,0.3211009174311927,0.08256880733944955,LAD,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.3657920013123966,0.24802200732759674,0.24131451104874482,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.013915409090909103,0.027678953233057968,0.04159436232396707,,4.359999999999999,0.07323766956794481,0.046854521625163834,0.08513664637031676,97,0.4067708333333333,0.9585258916933286,LAD,Max Muncy,maxmuncy,True,False,-0.01190789555116131,0.005154888596915449,-0.06875273810203808,-0.018576458934961904,0.03795449547445526,0.3538841057612353,0.2970392632103585,0.3472155423774347,0.4037464967868518,False,False,False,True,False,fake_hot
2026,701398,95,80,14,18,21,8,0.4451086956521739,0.2625,0.3684210526315789,0.6,0.9684210526315788,0.23636363636363636,0.14736842105263157,0.18947368421052632,0.08421052631578947,0.33749999999999997,0.41536376086956517,-0.029744934782608756,4.042105263157895,0.46875,0.2222222222222222,0.13802083333333334,0.484375,0.2727272727272727,119,84.51680672268908,103.96000000000001,24.722689075630253,0.2605042016806723,0.11764705882352941,CIN,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.3605263157894737,0.2909090909090909,0.25862068965517243,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.029744934782608756,0.054837445080091474,0.08458237986270023,,2.280000000000001,0.012640953817424416,0.0819327731092437,0.10702945269442737,110,0.425,0.9179841897233202,CIN,Sal Stewart,salstewart,True,False,-0.011729482237938049,0.005898027728209475,-0.07019872813990458,-0.014285201706284945,0.04464233607719398,0.3487968335515356,0.2903275876495691,0.34624111408318875,0.4051686518666677,False,False,False,True,False,fake_hot
2026,686948,101,92,7,18,28,5,0.3767326732673267,0.30434782608695654,0.36633663366336633,0.5,0.8663366336633663,0.3333333333333333,0.06930693069306931,0.1782178217821782,0.04950495049504951,0.19565217391304346,0.3893198217821782,0.012587148514851543,3.900990099009901,0.5025380710659898,0.18181818181818182,0.1548223350253807,0.4949238578680203,0.34673366834170855,150,82.74733333333333,103.21000000000001,18.653333333333332,0.24666666666666667,0.08,ATL,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.3585201793721973,0.1950617283950617,0.15246636771300448,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.012587148514851543,0.0307996424099809,0.018212493895129356,,1.5300000000000011,-0.0011965811965811979,0.04428571428571429,0.08098551360704043,125,0.3976,0.9027857142857143,ATL,Drake Baldwin,drakebaldwin,True,False,-0.01155589976190198,0.004991017885906442,-0.0635529214276842,-0.015286219794095057,0.0285111258469547,0.34696427961029536,0.2949672579445131,0.34323395957810227,0.387031305219152,False,False,False,True,False,fake_hot
2026,656811,92,76,13,15,24,3,0.38956043956043956,0.3157894736842105,0.41304347826086957,0.47368421052631576,0.8867276887871853,0.35,0.14130434782608695,0.16304347826086957,0.03260869565217391,0.15789473684210525,0.41165016483516487,0.022089725274725303,4.380434782608695,0.42431761786600497,0.18128654970760233,0.17369727047146402,0.48635235732009924,0.2608695652173913,129,83.94806201550387,101.82,16.1937984496124,0.26356589147286824,0.046511627906976744,PIT,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.3554752795398741,0.16636661632134317,0.18514290108151363,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.022089725274725303,0.056174885295290744,0.03408516002056544,,0.13999999999998636,0.01570264360962037,0.010797342192691031,0.10331585666002707,96,0.3957894736842105,0.9041666666666667,PIT,Ryan O'Hearn,ryanohearn,True,False,-0.011480902718424004,0.004466389796589711,-0.05024588004613334,-0.009755553569736786,0.03635525897086084,0.3439943768214501,0.3052293994937408,0.34571972597013734,0.39183053851073496,False,False,False,True,False,fake_hot
2026,621566,99,86,13,27,24,5,0.4020408163265306,0.27906976744186046,0.37373737373737376,0.5697674418604651,0.9435048155978389,0.35185185185185186,0.13131313131313133,0.2727272727272727,0.050505050505050504,0.29069767441860467,0.36892675510204087,-0.03311406122448973,4.4646464646464645,0.42081447963800905,0.20430107526881722,0.1583710407239819,0.4751131221719457,0.24568965517241378,134,84.75,106.74,22.17910447761194,0.291044776119403,0.08208955223880597,ATL,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.37768560153347064,0.2380590584279109,0.24183968003009926,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.03311406122448973,-0.008758846431429768,0.024355214793059965,,5.059999999999988,0.04318152825615512,0.04637526652452026,0.060592446926903076,122,0.3987603305785124,0.9439890710382515,ATL,Matt Olson,mattolson,True,False,-0.009714383399418299,0.0068201295472786385,-0.07242828554249162,-0.018576458934961904,0.037987209046991655,0.3679712181340523,0.30525731599097905,0.35910914259850873,0.4156728105804623,False,False,False,True,False,fake_hot
2026,545361,102,80,20,21,18,6,0.4175257731958763,0.225,0.39215686274509803,0.5,0.892156862745098,0.22641509433962265,0.19607843137254902,0.20588235294117646,0.058823529411764705,0.275,0.45595560824742265,0.038429835051546346,4.323529411764706,0.36507936507936506,0.18633540372670807,0.19047619047619047,0.47845804988662133,0.17391304347826086,116,84.53362068965517,106.0,22.07758620689655,0.25862068965517243,0.1206896551724138,LAA,0.2912420915994342,0.08387040394992681,0.22177921482096433,0.29306826298425226,0.12644114950743837,0.36688924566768605,0.24918468279772107,0.2759690890189424,101.68,0.24786324786324787,0.03571428571428571,0.3083343081751378,0.038429835051546346,0.0890663625797366,0.050636527528190256,,4.319999999999993,0.01075744179192456,0.08497536945812809,0.14762130007228486,116,0.42252252252252254,0.9107903913211933,LAA,Mike Trout,miketrout,True,True,-0.0012057519641654776,0.007063337419470741,-0.05288926310743275,-0.0026533105784700695,0.055388748727356996,0.36568349370352055,0.3139999825602533,0.364235935089216,0.42227799439504304,False,False,False,True,False,fake_hot
