season,pitcher,bf_22g,k_22g,bb_22g,hr_22g,runs_allowed_22g,outs_22g,ip_22g,k_rate_22g,bb_rate_22g,hr_rate_22g,ra9_22g,pitch_count_22g,swings_22g,whiffs_22g,in_zone_22g,swing_rate_22g,whiff_per_swing_22g,zone_rate_22g,bbe_22g,ev_p90_allowed_22g,hardhit_allowed_22g,hardhit_allowed_rate_22g,pitches_per_bf_22g,league_pitcher_k_rate,league_pitcher_bb_rate,league_pitcher_ra9,preseason_prior_k_rate,preseason_prior_bb_rate,bf_cutoff,ip_cutoff,k_rate_cutoff,starts_cutoff,player,known_2025_closer,named_r1_case,pred_k_rate_mean,pred_k_rate_bootstrap_sd,k_rate_q10,k_rate_q50,k_rate_q90,pred_k_delta_vs_prior,april_minus_pred_k_rate,known_closer_or_named_miller,sleeper_reliever_candidate,fake_dominant_candidate
2026,677961,51,13,6,1,8,30.0,10.0,0.2549019607843137,0.11764705882352941,0.0196078431372549,7.2,194,96,26,96,0.4948453608247423,0.2708333333333333,0.4948453608247423,60,104.55,19,0.31666666666666665,3.803921568627451,0.22177921482096433,0.08387040394992681,4.503987453440502,0.08333333333333333,0.25,51,10.0,0.2549019607843137,0,Cole Wilcox,False,False,0.23035090182822737,0.013673752592004021,0.16666666666666666,0.22340425531914893,0.3036649214659686,0.14701756849489406,0.024551058956086336,False,True,False
2026,663738,35,13,3,0,3,28.0,9.333333333333334,0.37142857142857144,0.08571428571428572,0.0,2.892857142857143,126,62,27,58,0.49206349206349204,0.43548387096774194,0.4603174603174603,31,97.7,6,0.1935483870967742,3.6,0.22177921482096433,0.08387040394992681,4.503987453440502,0.1766354007056806,0.08370263247911307,35,9.333333333333334,0.37142857142857144,0,Daniel Lynch,False,False,0.2876163116052959,0.016361607952959538,0.19480519480519481,0.27692307692307694,0.366120218579235,0.11098091089961529,0.08381225982327556,False,True,True
2026,622608,64,18,4,0,2,54.0,18.0,0.28125,0.0625,0.0,1.0,242,126,30,136,0.5206611570247934,0.23809523809523808,0.5619834710743802,87,99.8,17,0.19540229885057472,3.78125,0.22177921482096433,0.08387040394992681,4.503987453440502,0.12489597101874968,0.09678856415528468,64,18.0,0.28125,0,Antonio Senzatela,False,False,0.2351685485971028,0.009696582029528606,0.18617021276595744,0.24615384615384617,0.2974683544303797,0.11027257757835311,0.04608145140289721,False,True,False
2026,663969,63,18,9,0,0,43.0,14.333333333333334,0.2857142857142857,0.14285714285714285,0.0,0.0,253,101,37,102,0.39920948616600793,0.36633663366336633,0.4031620553359684,57,103.06,19,0.3333333333333333,4.015873015873016,0.22177921482096433,0.08387040394992681,4.503987453440502,0.1700745473908413,0.06204295349662761,63,14.333333333333334,0.2857142857142857,0,Tyler Phillips,False,False,0.26129697749845865,0.02001389299620573,0.18238993710691823,0.2529411764705882,0.3533834586466165,0.09122243010761735,0.02441730821582705,False,True,False
2026,667463,42,12,5,1,3,33.0,11.0,0.2857142857142857,0.11904761904761904,0.023809523809523808,2.4545454545454546,153,65,17,63,0.42483660130718953,0.26153846153846155,0.4117647058823529,42,97.25,6,0.14285714285714285,3.642857142857143,0.22177921482096433,0.08387040394992681,4.503987453440502,0.13547495512771865,0.06101704745633244,42,11.0,0.2857142857142857,0,John King,False,False,0.22528823570923057,0.011874320358843267,0.1746031746031746,0.2318840579710145,0.3151515151515151,0.08981328058151192,0.06042605000505513,False,True,False
2026,668873,44,13,7,1,2,33.0,11.0,0.29545454545454547,0.1590909090909091,0.022727272727272728,1.6363636363636365,171,73,20,86,0.4269005847953216,0.273972602739726,0.5029239766081871,48,101.69,12,0.25,3.8863636363636362,0.22177921482096433,0.08387040394992681,4.503987453440502,0.14835858585858588,0.09638047138047139,44,11.0,0.29545454545454547,0,Caleb Kilian,False,False,0.23712463706270942,0.014636253963079753,0.1746031746031746,0.22641509433962265,0.319672131147541,0.08876605120412354,0.05832990839183605,False,True,False
2026,694918,36,8,2,1,2,30.0,10.0,0.2222222222222222,0.05555555555555555,0.027777777777777776,1.8,135,61,19,64,0.45185185185185184,0.3114754098360656,0.4740740740740741,39,101.42,14,0.358974358974359,3.75,0.22177921482096433,0.08387040394992681,4.503987453440502,0.1282051282051282,0.1282051282051282,36,10.0,0.2222222222222222,0,Blade Tidwell,False,False,0.2143064202190432,0.015314891733455998,0.16346153846153846,0.22794117647058823,0.319672131147541,0.086101292013915,0.007915802003179012,False,True,False
2026,696147,55,15,8,0,3,39.0,13.0,0.2727272727272727,0.14545454545454545,0.0,2.076923076923077,212,87,33,95,0.41037735849056606,0.3793103448275862,0.4481132075471698,45,99.14,11,0.24444444444444444,3.8545454545454545,0.22177921482096433,0.08387040394992681,4.503987453440502,0.18719105953148507,0.12259371833839919,55,13.0,0.2727272727272727,0,Sam Bachman,False,False,0.2630757466826435,0.01892207244882172,0.18823529411764706,0.24615384615384617,0.33519553072625696,0.07588468715115843,0.00965152604462921,False,True,False
2026,669270,30,3,0,0,3,23.0,7.666666666666667,0.1,0.0,0.0,3.5217391304347823,87,51,8,46,0.5862068965517241,0.1568627450980392,0.5287356321839081,39,104.11999999999999,14,0.358974358974359,2.9,0.22177921482096433,0.08387040394992681,4.503987453440502,0.09421357697219765,0.03831417624521073,30,7.666666666666667,0.1,0,Joel Kuhnel,False,False,0.16658318131343658,0.016883196540280507,0.10152284263959391,0.1761006289308176,0.2553191489361702,0.07236960434123893,-0.06658318131343657,False,True,False
2026,676775,31,11,1,0,1,26.0,8.666666666666666,0.3548387096774194,0.03225806451612903,0.0,1.0384615384615385,124,62,20,57,0.5,0.3225806451612903,0.4596774193548387,36,97.15,7,0.19444444444444445,4.0,0.22177921482096433,0.08387040394992681,4.503987453440502,0.2068093556623559,0.059295966272288614,31,8.666666666666666,0.3548387096774194,0,Keaton Winn,False,False,0.2732154586676571,0.015359368116838707,0.19480519480519481,0.2716049382716049,0.3584905660377358,0.06640610300530123,0.08162325100976225,False,True,True
