season,pitcher,starts_full
2022,680686,28
2022,680694,23
2022,680739,11
2022,681217,7
2022,681806,1
2022,681867,1
2022,681885,1
2022,682051,8
2022,682171,1
2022,682847,4
2022,683769,2
2022,685503,4
2022,686610,7
2022,686613,2
2022,686752,7
2022,686753,4
2022,686973,5
2022,689225,15
2022,693821,9
2023,425794,21
2023,425844,27
2023,434378,27
2023,445926,1
2023,446372,9
2023,448179,27
2023,450203,30
2023,453286,27
2023,456501,10
2023,458681,32
2023,471911,20
2023,477132,24
2023,489119,23
2023,500779,13
2023,502043,33
2023,502171,28
2023,502624,17
2023,506433,24
2023,518397,8
2023,518516,4
2023,518585,2
2023,518876,30
2023,519242,20
2023,527048,20
2023,527054,11
2023,541640,2
2023,542881,25
2023,542888,6
2023,543037,33
2023,543101,18
2023,543135,25
2023,543243,32
2023,543294,24
2023,543475,31
2023,543518,1
2023,543521,1
2023,543548,2
2023,547179,25
2023,547943,11
2023,548389,11
2023,554430,32
2023,570632,10
2023,570666,6
2023,571510,15
2023,571578,32
2023,571616,1
2023,571760,28
2023,571863,1
2023,571882,3
2023,571927,17
2023,571945,35
2023,571946,1
2023,572020,19
2023,572971,6
2023,573009,3
2023,573186,25
2023,579328,32
2023,592229,1
2023,592254,1
2023,592332,31
2023,592351,29
2023,592662,1
2023,592767,23
2023,592789,18
2023,592791,29
2023,592826,8
2023,592836,31
2023,592866,30
2023,593334,19
2023,593958,26
2023,594577,2
2023,594580,1
2023,594798,6
2023,594835,10
2023,594902,12
2023,594943,2
2023,595345,2
2023,596001,4
2023,596133,25
2023,596295,27
2023,598264,1
2023,601713,16
2023,605135,33
2023,605154,10
2023,605182,24
2023,605200,18
2023,605242,1
2023,605288,21
2023,605397,17
2023,605400,32
2023,605463,2
2023,605483,32
2023,605488,3
2023,605513,7
2023,605540,11
2023,607067,22
2023,607074,14
2023,607192,21
2023,607259,9
2023,607536,29
2023,607625,26
2023,607644,4
2023,607968,4
2023,608331,14
2023,608334,1
2023,608337,33
2023,608344,12
2023,608379,24
2023,608566,4
2023,608638,5
2023,608718,2
2023,614179,1
2023,615698,19
2023,621016,2
2023,621057,1
2023,621076,11
2023,621107,31
2023,621112,20
2023,621244,32
2023,621366,2
2023,621381,10
2023,621383,3
2023,621389,13
2023,622072,12
2023,622088,1
2023,622251,1
2023,622491,33
2023,622608,2
2023,622663,18
2023,622766,3
2023,622772,1
2023,623167,16
2023,623474,1
2023,624133,22
2023,624647,1
2023,628317,20
2023,628711,21
2023,630023,9
2023,640455,10
2023,641149,1
2023,641154,32
2023,641302,1
2023,641401,1
2023,641482,12
2023,641540,26
2023,641585,23
2023,641656,3
2023,641672,2
2023,641712,12
2023,641745,9
2023,641771,5
2023,641778,9
2023,641793,14
2023,641816,5
2023,641927,26
2023,641941,1
2023,642216,6
2023,642232,9
2023,642239,1
2023,642545,6
2023,642547,30
2023,642770,2
2023,643493,6
2023,645261,28
2023,646242,1
2023,647336,6
2023,650633,9
2023,650644,23
2023,650911,18
2023,656222,8
2023,656232,13
2023,656234,3
2023,656288,22
2023,656302,33
2023,656353,1
2023,656412,12
2023,656427,27
2023,656557,21
2023,656578,7
2023,656605,32
2023,656629,27
2023,656730,2
2023,656731,25
2023,656756,32
2023,656794,2
2023,656818,3
2023,656849,21
2023,656876,8
2023,656970,1
2023,657006,30
2023,657031,1
