season,pitcher,bf_22g,k_22g,bb_22g,hr_22g,runs_allowed_22g,outs_22g,ip_22g,k_rate_22g,bb_rate_22g,hr_rate_22g,ra9_22g,pitch_count_22g,swings_22g,whiffs_22g,in_zone_22g,swing_rate_22g,whiff_per_swing_22g,zone_rate_22g,bbe_22g,ev_p90_allowed_22g,hardhit_allowed_22g,hardhit_allowed_rate_22g,pitches_per_bf_22g,league_pitcher_k_rate,league_pitcher_bb_rate,league_pitcher_ra9,preseason_prior_k_rate,preseason_prior_bb_rate,bf_cutoff,ip_cutoff,k_rate_cutoff,starts_cutoff,player,known_2025_closer,named_r1_case,pred_k_rate_mean,pred_k_rate_bootstrap_sd,k_rate_q10,k_rate_q50,k_rate_q90,pred_k_delta_vs_prior,april_minus_pred_k_rate,known_closer_or_named_miller,sleeper_reliever_candidate,fake_dominant_candidate
2026,677961,51,13,6,1,8,30.0,10.0,0.2549019607843137,0.11764705882352941,0.0196078431372549,7.2,194,96,26,96,0.4948453608247423,0.2708333333333333,0.4948453608247423,60,104.55,19,0.31666666666666665,3.803921568627451,0.22177921482096433,0.08387040394992681,4.503987453440502,0.08333333333333333,0.25,51,10.0,0.2549019607843137,0,Cole Wilcox,False,False,0.23035090182822737,0.013673752592004021,0.16666666666666666,0.22340425531914893,0.3036649214659686,0.14701756849489406,0.024551058956086336,False,True,False
2026,663738,35,13,3,0,3,28.0,9.333333333333334,0.37142857142857144,0.08571428571428572,0.0,2.892857142857143,126,62,27,58,0.49206349206349204,0.43548387096774194,0.4603174603174603,31,97.7,6,0.1935483870967742,3.6,0.22177921482096433,0.08387040394992681,4.503987453440502,0.1766354007056806,0.08370263247911307,35,9.333333333333334,0.37142857142857144,0,Daniel Lynch,False,False,0.2876163116052959,0.016361607952959538,0.19480519480519481,0.27692307692307694,0.366120218579235,0.11098091089961529,0.08381225982327556,False,True,True
2026,622608,64,18,4,0,2,54.0,18.0,0.28125,0.0625,0.0,1.0,242,126,30,136,0.5206611570247934,0.23809523809523808,0.5619834710743802,87,99.8,17,0.19540229885057472,3.78125,0.22177921482096433,0.08387040394992681,4.503987453440502,0.12489597101874968,0.09678856415528468,64,18.0,0.28125,0,Antonio Senzatela,False,False,0.2351685485971028,0.009696582029528606,0.18617021276595744,0.24615384615384617,0.2974683544303797,0.11027257757835311,0.04608145140289721,False,True,False
2026,663969,63,18,9,0,0,43.0,14.333333333333334,0.2857142857142857,0.14285714285714285,0.0,0.0,253,101,37,102,0.39920948616600793,0.36633663366336633,0.4031620553359684,57,103.06,19,0.3333333333333333,4.015873015873016,0.22177921482096433,0.08387040394992681,4.503987453440502,0.1700745473908413,0.06204295349662761,63,14.333333333333334,0.2857142857142857,0,Tyler Phillips,False,False,0.26129697749845865,0.02001389299620573,0.18238993710691823,0.2529411764705882,0.3533834586466165,0.09122243010761735,0.02441730821582705,False,True,False
2026,667463,42,12,5,1,3,33.0,11.0,0.2857142857142857,0.11904761904761904,0.023809523809523808,2.4545454545454546,153,65,17,63,0.42483660130718953,0.26153846153846155,0.4117647058823529,42,97.25,6,0.14285714285714285,3.642857142857143,0.22177921482096433,0.08387040394992681,4.503987453440502,0.13547495512771865,0.06101704745633244,42,11.0,0.2857142857142857,0,John King,False,False,0.22528823570923057,0.011874320358843267,0.1746031746031746,0.2318840579710145,0.3151515151515151,0.08981328058151192,0.06042605000505513,False,True,False
